Label Pair,Label A,Label B,Association
Class12 | Class13,Class12,Class13,0.9906387665198237
Class7 | Class8,Class7,Class8,0.6660550458715596
Class10 | Class11,Class10,Class11,0.6625766871165644
Class1 | Class2,Class1,Class2,0.5177065767284992
Class5 | Class6,Class5,Class6,0.5022779043280182
Class3 | Class4,Class3,Class4,0.4748201438848921
Class4 | Class13,Class4,Class13,0.3844953173777315
Class4 | Class12,Class4,Class12,0.38183694530443757
Class2 | Class3,Class2,Class3,0.3776414451261077
Class3 | Class13,Class3,Class13,0.37111877772301627
Class3 | Class12,Class3,Class12,0.3693737769080235
Class6 | Class7,Class6,Class7,0.3594164456233422
Class2 | Class13,Class2,Class13,0.33694627709707825
Class2 | Class12,Class2,Class12,0.33614232209737827
Class5 | Class13,Class5,Class13,0.3178254051228437
Class5 | Class12,Class5,Class12,0.3150259067357513
Class8 | Class9,Class8,Class9,0.28515625
Class6 | Class8,Class6,Class8,0.26705882352941174
Class4 | Class5,Class4,Class5,0.2621513944223108
Class6 | Class12,Class6,Class12,0.24574083634486318
