Label Pair,Label A,Label B,Association
Class-4-753_0 | Class-32-486,Class-4-753_0,Class-32-486,0.27129337539432175
Class-24-596_54 | Class-39-758_6,Class-24-596_54,Class-39-758_6,0.20754716981132076
Class-36-788_30 | Class-41-591,Class-36-788_30,Class-41-591,0.1509433962264151
Class-12-V13_09 | Class-37-753_3,Class-12-V13_09,Class-37-753_3,0.1
Class-3-759_89 | Class-34-V13_02,Class-3-759_89,Class-34-V13_02,0.08695652173913043
Class-11-593_5 | Class-41-591,Class-11-593_5,Class-41-591,0.08536585365853659
Class-37-753_3 | Class-40-741_90,Class-37-753_3,Class-40-741_90,0.0625
Class-13-791_0 | Class-43-279_12,Class-13-791_0,Class-43-279_12,0.05714285714285714
Class-4-753_0 | Class-44-786_07,Class-4-753_0,Class-44-786_07,0.05460750853242321
Class-22-789_09 | Class-43-279_12,Class-22-789_09,Class-43-279_12,0.05405405405405406
Class-28-753_21 | Class-41-591,Class-28-753_21,Class-41-591,0.05063291139240506
Class-19-785_6 | Class-37-753_3,Class-19-785_6,Class-37-753_3,0.047619047619047616
Class-0-593_70 | Class-36-788_30,Class-0-593_70,Class-36-788_30,0.04285714285714286
Class-11-593_5 | Class-36-788_30,Class-11-593_5,Class-36-788_30,0.0392156862745098
Class-32-486 | Class-34-V13_02,Class-32-486,Class-34-V13_02,0.03896103896103896
Class-12-V13_09 | Class-35-493_90,Class-12-V13_09,Class-35-493_90,0.037037037037037035
Class-10-518_0 | Class-31-780_6,Class-10-518_0,Class-31-780_6,0.03614457831325301
Class-36-788_30 | Class-37-753_3,Class-36-788_30,Class-37-753_3,0.03508771929824561
Class-32-486 | Class-44-786_07,Class-32-486,Class-44-786_07,0.034482758620689655
Class-0-593_70 | Class-41-591,Class-0-593_70,Class-41-591,0.03409090909090909
