Label A,Label B,Association
Class-4-753_0,Class-32-486,0.27129337539432175
Class-24-596_54,Class-39-758_6,0.20754716981132076
Class-36-788_30,Class-41-591,0.1509433962264151
Class-12-V13_09,Class-37-753_3,0.1
Class-3-759_89,Class-34-V13_02,0.08695652173913043
Class-11-593_5,Class-41-591,0.08536585365853659
Class-37-753_3,Class-40-741_90,0.0625
Class-13-791_0,Class-43-279_12,0.05714285714285714
Class-4-753_0,Class-44-786_07,0.05460750853242321
Class-22-789_09,Class-43-279_12,0.05405405405405406
Class-28-753_21,Class-41-591,0.05063291139240506
