,Hamming loss,F-measure/F1,Subset 0/1 loss,Ranking/Rank loss,Accuracy,Precision,Recall,Jaccard index,Average precision,Log loss,One-error loss
P01,1,1,1,1,1,0,0,0,0,0,0
P02,1,0,1,1,0,0,0,0,0,0,0
P03,1,1,0,0,1,1,1,0,0,0,0
P04,1,0,0,0,1,1,1,0,0,0,0
P05,1,1,0,1,0,1,1,0,1,0,1
P06,1,1,1,0,0,0,0,0,0,0,0
P07,1,0,1,1,0,0,0,0,0,0,0
P08,1,1,1,1,0,0,0,0,0,0,0
P09,1,1,0,1,0,0,0,0,0,0,0
P10,1,1,1,0,1,0,0,0,0,1,0
P11,1,0,1,0,0,0,0,1,0,0,0
P13,1,1,1,1,0,0,0,1,0,0,0
P14,1,1,0,0,1,0,0,0,0,0,0
P15,1,1,1,0,1,1,1,0,0,0,0
